,ds,region,percent_ill
1020,2018-08-31,12086,1.23060398307313
395,2018-09-01,12086,0.983263879114884
396,2018-09-02,12086,1.0920896548713
397,2018-09-03,12086,0.954248685454966
398,2018-09-04,12086,1.16853445777707
399,2018-09-05,12086,1.43888897780068
1021,2018-09-06,12086,1.59596576348737
1022,2018-09-07,12086,1.70093410703709
400,2018-09-08,12086,1.82491623573394
401,2018-09-09,12086,1.74224461573209
402,2018-09-10,12086,1.8878045833317
1023,2018-09-11,12086,1.67727984676068
403,2018-09-12,12086,1.48696257275853
404,2018-09-13,12086,1.29555645882583
1024,2018-09-14,12086,1.11285596336104
405,2018-09-15,12086,1.04211095229931
1025,2018-09-16,12086,0.869594587890191
1026,2018-09-17,12086,1.07500197984678
406,2018-09-18,12086,1.1220048107537
407,2018-09-19,12086,1.40953954461623
1027,2018-09-20,12086,1.83290444297959
408,2018-09-21,12086,1.86563414085008
1028,2018-09-22,12086,1.98549722950606
1029,2018-09-23,12086,2.08569500815853
1030,2018-09-24,12086,2.25664721487198
1031,2018-09-25,12086,2.4733805267181
409,2018-09-26,12086,2.6176370933622
1032,2018-09-27,12086,2.64594022693036
410,2018-09-28,12086,2.42242568349406
1033,2018-09-29,12086,2.28196561495966
411,2018-09-30,12086,2.24638082128849
1034,2018-10-01,12086,2.02826396610604
1035,2018-10-02,12086,2.19787428757203
1036,2018-10-03,12086,1.97233687547818
412,2018-10-04,12086,1.69652728121804
413,2018-10-05,12086,1.70213713171079
414,2018-10-06,12086,1.49400200222977
415,2018-10-07,12086,1.63755971942655
